org/apache/ignite/internal/processors/cache/GridCacheIoManager::onMessage0,7.0669500531349625%
org/apache/ignite/internal/managers/communication/TraceRunnable::run,6.641870350690755%
org/apache/ignite/internal/processors/cache/GridCacheIoManager$1::onMessage,6.429330499468651%
org/apache/ignite/internal/processors/cache/GridCacheIoManager::handleMessage,6.269925611052073%
org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicCache::updateAllAsyncInternal0,6.16365568544102%
org/apache/ignite/internal/processors/cache/GridCacheIoManager::processMessage,6.110520722635494%
org/apache/ignite/internal/binary/BinaryWriterExImpl::marshal,3.6663124335812967%
org/apache/ignite/internal/binary/BinaryMarshaller::marshal0,3.2412327311370883%
org/apache/ignite/internal/processors/cache/GridCacheIoManager::send,3.2412327311370883%
org/apache/ignite/marshaller/AbstractNodeNameAwareMarshaller::marshal,3.08182784272051%
org/apache/ignite/marshaller/jdk/JdkMarshaller::marshal0,3.028692879914984%
org/apache/ignite/internal/marshaller/optimized/OptimizedObjectOutputStream::writeObject0,3.028692879914984%
org/apache/ignite/internal/processors/cache/GridCacheIoManager::onSend,2.975557917109458%
org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicCache::update,2.656748140276302%
org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicCache::updateSingle,2.6036131774707756%
org/apache/ignite/internal/processors/cache/GridCacheMapEntry::innerUpdate,2.4973432518597236%
org/apache/ignite/internal/util/StripedExecutor$Stripe::body,2.4973432518597236%
org/apache/ignite/internal/processors/cache/persistence/tree/BPlusTree::invokeDown,2.2848034006376197%
org/apache/ignite/internal/util/nio/GridNioCodecFilter::onMessageReceived,1.7003188097768331%
org/apache/ignite/internal/util/nio/GridConnectionBytesVerifyFilter::onMessageReceived,1.7003188097768331%
org/apache/ignite/internal/util/nio/GridNioServer$AbstractNioClientWorker::processSelectedKeysOptimized,1.5940488841657812%
org/apache/ignite/internal/util/nio/GridNioServer$AbstractNioClientWorker::bodyInternal,1.1689691817215728%
org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicCache$2::apply,0.9564293304994687%
org/apache/ignite/internal/util/nio/GridNioServer$DirectNioClientWorker::processRead,0.7970244420828906%
org/apache/ignite/spi/communication/tcp/internal/InboundConnectionHandler::onMessage,0.7438894792773645%
org/apache/ignite/internal/util/nio/GridNioFilterChain$TailFilter::onMessageReceived,0.7438894792773645%
org/apache/ignite/internal/util/StripedExecutor$StripeConcurrentQueue::take,0.6907545164718385%
