"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.apache.ignite.internal.processors.rest.GridRestProcessor$4.body",38003877,38003877,1
"org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.take",19372144,193,100060
"java.util.Queue.poll",16547155,0,191310018
"org.apache.ignite.internal.util.StripedExecutor$Stripe.body",6862855,114380,60
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readLong",1604906,1,890133
"org.apache.ignite.internal.direct.state.DirectMessageState.item",1303840,0,12179778
"org.apache.ignite.internal.util.GridUnsafe.getByte(byte[ ], long)",1122831,0,4972597
"org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.bodyInternal",989413,15459,64
"java.nio.ByteBuffer.position()",908129,0,8199477
"java.nio.ByteBuffer.position(int)",866800,0,8091424
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readInt",852939,0,1004989
"org.apache.ignite.internal.processors.cache.GridCacheAdapter.getAllAsync0",797377,8,95052
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt",643496,0,1002293
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys",640785,6,100000
"org.apache.ignite.internal.util.OffheapReadWriteLock.updateState",614739,1,604948
"java.nio.ByteBuffer.hasRemaining",613956,0,5487951
"org.apache.ignite.internal.util.GridUnsafe.putByte",606604,0,2804071
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, org.apache.ignite.internal.processors.cache.persistence.CacheSearchRow)",569625,0,584906
"org.apache.ignite.internal.direct.DirectMessageReader.incrementState",558567,0,2405027
"sun.misc.Unsafe.getByte",548519,0,4972597
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished",483612,0,4728274
"org.apache.ignite.internal.util.GridUnsafe.getShort",466873,0,1424740
"org.apache.ignite.internal.pagemem.PageUtils.getShort",458782,0,1424740
"java.lang.ThreadLocal.get",444458,0,2680729
"java.nio.ByteBuffer.remaining",443632,0,3543790
"org.apache.ignite.internal.direct.DirectMessageWriter.incrementState",432989,0,2022113
"org.apache.ignite.internal.util.OffheapReadWriteLock.readLock",405326,1,300000
"org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom",404683,4,95052
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log",394347,0,409896
"org.apache.ignite.internal.util.GridUnsafe.getInt",382291,0,1184906
"org.apache.ignite.internal.pagemem.PageUtils.getInt",373857,0,1184906
"org.apache.ignite.internal.processors.cache.tree.AbstractDataLeafIO.getHash",365517,0,684906
"org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock",362576,1,300000
"org.apache.ignite.internal.processors.cache.CacheGroupContext.sharedGroup",355801,0,991226
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter.processNearSingleGetRequest",353436,3,95052
"org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom",348090,3,100003
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter$5.apply",332732,3,95052
"org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.acquirePage",319008,1,304948
"org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi.sendMessage0",313319,3,100003
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.toEntryInfo",311581,3,95052
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readMessage",310833,0,400008
"java.lang.Object.getClass",309348,0,1772629
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeLong",305524,0,400022
"org.apache.ignite.internal.util.GridUnsafe.getLong",294738,0,904948
"org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusLeafIO.offset",294606,0,884906
"sun.misc.Unsafe.putByte",292605,0,2804071
"org.apache.ignite.internal.processors.tracing.MTC.span",288286,0,906286
"org.apache.ignite.internal.pagemem.PageUtils.getLong",287908,0,904948
"org.apache.ignite.internal.managers.communication.GridIoMessage.writeTo",275658,2,100003
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.add0",273068,0,1019261
"org.apache.ignite.internal.direct.DirectMessageReader.isLastRead",272192,0,2405027
"org.apache.ignite.internal.processors.cache.GridCacheIoManager$1.onMessage",266867,2,100002
"org.apache.ignite.internal.util.OffheapReadWriteLock.lockCount",266628,0,1519792
"org.apache.ignite.internal.pagemem.PageUtils.getByte",263534,0,794788
"org.apache.ignite.internal.util.nio.GridNioFilterAdapter.proceedSessionWrite",262350,0,300012
"org.apache.ignite.internal.util.GridUnsafe.getByte(long)",261695,0,794788
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.readFullRow",259342,2,100000
"org.apache.ignite.internal.direct.DirectMessageReader.setBuffer",258680,0,609908
"org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.increment",256734,0,904972
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.send",255174,2,100002
"org.apache.ignite.internal.util.GridUnsafe.getLongVolatile",250284,0,609896
"sun.misc.Unsafe.getShort",249480,0,1424740
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readShort",246593,0,400008
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.handleMessage",244861,2,100002
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.map",239928,2,95052
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeShort",238842,0,415980
"org.apache.ignite.internal.managers.communication.GridIoManager.invokeListener",232134,2,100003
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock0",231658,0,614844
"org.apache.ignite.spi.communication.tcp.internal.ConnectionClientPool.reserveClient",228504,2,100003
"org.apache.ignite.internal.direct.DirectMessageReader.readLong",228383,0,490114
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.lock",219855,0,614844
"org.apache.ignite.internal.processors.cache.persistence.CacheDataRowAdapter.doInitFromLink",219071,2,100000
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadLock",214308,1,200000
"sun.misc.Unsafe.getInt",213898,0,1184906
"java.util.concurrent.locks.LockSupport.unpark",212834,2,91830
"org.apache.ignite.internal.processors.cache.persistence.tree.io.AbstractDataPageIO.readPayload",209164,1,200000
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onMessageProcessed",206455,2,100002
"org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.getAsync",205908,2,95052
"org.apache.ignite.spi.communication.tcp.internal.InboundConnectionHandler.onMessage",205778,1,103129
"org.apache.ignite.internal.managers.communication.GridIoManager.send",201727,2,100003
"org.apache.ignite.internal.direct.DirectMessageWriter.setBuffer",199552,0,501138
"org.apache.ignite.internal.util.GridUnsafe.compareAndSwapLong",196983,0,609896
"org.apache.ignite.internal.direct.DirectMessageReader.readMessage",195276,0,400008
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeMessage",194896,0,315977
"org.apache.ignite.internal.util.OffheapReadWriteLock.writersWaitCount",193381,0,1214844
"org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO, long, int, java.lang.Object)",192135,0,584906
"org.apache.ignite.internal.util.nio.GridSelectorNioSessionImpl.offerFuture",191693,1,100004
"org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion.compareTo",187405,0,535107
"org.apache.ignite.internal.direct.DirectMessageReader.readInt",187151,0,400008
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.onSend",186398,1,100002
"org.apache.ignite.internal.processors.cache.GridCacheEventManager.isRecordable",185596,1,129688
"org.apache.ignite.internal.processors.cache.GridCacheMessage.readFrom",184296,1,100002
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onBeforeReadLock",183615,0,200000
"java.util.concurrent.atomic.LongAdder.add",179133,0,1019261
"org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree.compare",178394,0,584906
"org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.PageLockTracker.onReadUnlock",177857,0,200000
"org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readBoolean",175636,0,300017
"org.apache.ignite.internal.direct.DirectMessageWriter.writeInt",173809,0,401131
"org.apache.ignite.internal.processors.cache.GridCacheIoManager.unmarshall",173591,1,100002
"org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.readLock",170369,0,300000
